"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"2989","NC_047559.1",999977,999979,"*",6.71102978043097e-13,3.11215309956983e-10,-57.7777777777778
"3012","NC_047559.1",1006648,1006650,"*",1.50213008292768e-19,4.2583718263814e-16,-62.6865671641791
"3350","NC_047559.1",1106815,1106817,"*",9.33799002955246e-18,1.81334322270356e-14,-63.5252808988764
"7829","NC_047559.1",3201639,3201641,"*",4.61637404309661e-22,1.99211811297994e-18,67.666451195863
"8180","NC_047559.1",3232121,3232123,"*",2.80848217625737e-21,1.07199770940878e-17,-57.685009487666
"19437","NC_047559.1",5164333,5164335,"*",1.60023348729172e-17,2.94548965926507e-14,-54.1097375840382
"20216","NC_047559.1",5366817,5366819,"*",4.27240207058284e-22,1.85917596097758e-18,-53.0361499223775
"20491","NC_047559.1",5430186,5430188,"*",1.46748793936963e-22,6.88752425827661e-19,-58.3071652868969
"32108","NC_047559.1",8175793,8175795,"*",1.1457911387692e-13,6.96403915599538e-11,-50.5882352941176
"44726","NC_047559.1",10842545,10842547,"*",1.47584283746306e-24,8.92120631587669e-21,-66.4022298456261
"44734","NC_047559.1",10844530,10844532,"*",1.12064434719641e-20,3.87737725498659e-17,-61.8599033816425
"44754","NC_047559.1",10851839,10851841,"*",3.93437338263721e-15,3.76130717581014e-12,51.6512655685014
"44801","NC_047559.1",10871524,10871526,"*",3.00979216096743e-23,1.54315827779915e-19,54.5093616061358
"47931","NC_047559.1",11495898,11495900,"*",1.20149881751441e-22,5.69253418187891e-19,-54.6218487394958
"51738","NC_047559.1",12193298,12193300,"*",6.32695021292361e-15,5.75133876126867e-12,58.346116301771
"52900","NC_047559.1",12504229,12504231,"*",6.59656294094129e-16,7.96880751410242e-13,-57.8646092583375
"53078","NC_047559.1",12569847,12569849,"*",5.24521805586445e-11,1.2054062700838e-08,-51.1764705882353
"53765","NC_047559.1",12703186,12703188,"*",1.20960789565302e-14,1.0065456732785e-11,52.1103896103896
"56841","NC_047559.1",13487400,13487402,"*",4.35978865658768e-19,1.11950659675006e-15,-53.1147540983607
"57278","NC_047559.1",13594475,13594477,"*",1.18768969591389e-12,5.0421884072074e-10,-51.9331243469175
"57446","NC_047559.1",13645569,13645571,"*",1.3865298758854e-22,6.52727464334477e-19,-61.327817178881
"66587","NC_047559.1",16224844,16224846,"*",1.16562231778566e-13,7.05421318063778e-11,-57.5816993464052
"78293","NC_047559.1",19792661,19792663,"*",4.27038510614415e-20,1.37637443732962e-16,-51.7425463336019
"79234","NC_047559.1",20125000,20125002,"*",1.01397934405033e-13,6.28335169034570e-11,-52.6685393258427
"83112","NC_047559.1",21062956,21062958,"*",1.39383983377681e-17,2.59635106887509e-14,56.5899963490325
"84247","NC_047559.1",21328348,21328350,"*",6.28259898006568e-32,9.20767684533774e-28,65.5521783181358
"84252","NC_047559.1",21328672,21328674,"*",7.07378550604924e-14,4.59994174493241e-11,55.9493670886076
"86453","NC_047559.1",21839013,21839015,"*",7.90404839929641e-18,1.56222520149827e-14,-52.5146198830409
"88022","NC_047559.1",22194722,22194724,"*",2.75694704651055e-19,7.42282473029389e-16,57.9228645230249
"88854","NC_047559.1",22436752,22436754,"*",3.35520865155095e-16,4.36182484867594e-13,52.246963562753
"94788","NC_047559.1",24039132,24039134,"*",2.41616348185833e-45,5.68720620579438e-41,55.4054054054054
"94789","NC_047559.1",24039360,24039362,"*",5.84374500068856e-45,1.35498051059317e-40,62.6740947075209
"94790","NC_047559.1",24039363,24039365,"*",5.1115558480706e-41,1.08779446496242e-36,62.4025289778714
"97123","NC_047559.1",24628290,24628292,"*",7.14470935471302e-23,3.50140138219036e-19,51.2702702702703
"99946","NC_047559.1",25253232,25253234,"*",1.2655719482252e-10,2.52112672425189e-08,-51.9856954639563
"101439","NC_047559.1",25668213,25668215,"*",6.96165804017433e-12,2.23682909406237e-09,-50.3448275862069
"101467","NC_047559.1",25672639,25672641,"*",2.69713564073483e-15,2.70850142770063e-12,55.1525496052912
"101704","NC_047559.1",25776934,25776936,"*",4.80933567260598e-13,2.35319520692394e-10,-51.4146772767462
"103380","NC_047559.1",26169719,26169721,"*",1.86069365535657e-21,7.2995533230552e-18,-59.5536086775136
"105896","NC_047559.1",26698725,26698727,"*",3.37308586064334e-17,5.68950110138308e-14,-57.6903932304629
"106619","NC_047559.1",26991968,26991970,"*",4.16755667242388e-12,1.4500288584672e-09,50.6802721088435
"107481","NC_047559.1",27417418,27417420,"*",5.93444460069688e-15,5.42005133958357e-12,51.9811320754717
"109089","NC_047559.1",28103025,28103027,"*",2.40259820773736e-09,2.94336580987616e-07,-51.3685239491691
"139971","NC_047559.1",36314931,36314933,"*",1.13003976223872e-19,3.30609857650513e-16,-56.4116379310345
"143393","NC_047559.1",36898812,36898814,"*",1.62118119633597e-13,9.31755804043941e-11,-54.7077922077922
"146643","NC_047559.1",37686798,37686800,"*",7.1644438051857e-16,8.55503476333694e-13,-52.4747793190416
"152930","NC_047559.1",39397939,39397941,"*",6.95290329629548e-35,1.21364809079098e-30,-58.6111111111111
"152934","NC_047559.1",39398402,39398404,"*",9.60307602348895e-20,2.86895421806566e-16,-65.2993348115299
"155634","NC_047559.1",39993199,39993201,"*",7.2515364902324e-13,3.32508865879573e-10,52.2981366459627
"159425","NC_047559.1",40589975,40589977,"*",3.05915415164882e-17,5.19962185625848e-14,-54.2258282623394
"168107","NC_047559.1",42617753,42617755,"*",1.93374101168681e-16,2.66557549115289e-13,58.1178662939669
"175982","NC_047559.1",44157013,44157015,"*",2.22235523540584e-20,7.36134602342163e-17,-57.5471698113208
"176097","NC_047559.1",44238114,44238116,"*",2.95355257049974e-17,5.05887574892498e-14,58.12265917603
"176099","NC_047559.1",44239310,44239312,"*",1.49864150898174e-19,4.25624898470191e-16,55.8933138472781
"176111","NC_047559.1",44243721,44243723,"*",6.5793568706742e-14,4.32367026416931e-11,-51.6836445953594
"189105","NC_047559.1",47383463,47383465,"*",1.76911073379809e-21,6.97550075859777e-18,-57.6360584991609
"189593","NC_047559.1",47534014,47534016,"*",4.77663333711852e-17,7.72474246954816e-14,-54.1860465116279
"193180","NC_047559.1",48390944,48390946,"*",1.05239013576928e-11,3.1548351656947e-09,-50.398293029872
"196281","NC_047559.1",49661677,49661679,"*",4.01326130623002e-16,5.1229893640387e-13,-60.1761252446184
"198629","NC_047559.1",49999226,49999228,"*",3.0487635772805e-10,5.24102292904012e-08,-53.7076522151149
"203693","NC_047559.1",51035779,51035781,"*",5.9610654579293e-17,9.36362890905147e-14,-61.1329661683714
"205481","NC_047559.1",51612652,51612654,"*",1.78750730664595e-11,4.91578460969017e-09,-52.0479000347102
"219297","NC_047559.1",53924868,53924870,"*",1.1976924618129e-13,7.21737045951996e-11,-53.3143939393939
